actors0,actors1,actors2,year,id,type,genres2,genres3,directors1,genres4,genres5,genres6,genres7,genres8,genres9,directors2
Steve Martin,Diane Keaton,Martin Short,1991,tt0101862,add,,,,,,,,,,
Brendan Fraser,Dominic Purcell,Ethan Suplee,2013,tt2314886,add,,,,,,,,,,
Kate Beckinsale,Gabriel Macht,Tom Skerritt,2009,tt0365929,add,Mystery,Thriller,,,,,,,,
Kirsten Dunst,Isla Fisher,Lizzy Caplan,2012,tt1920849,add,,,,,,,,,,
Dennis Quaid,Zac Efron,Kim Dickens,2012,tt1937449,add,,,,,,,,,,
Clive Owen,Catherine Keener,Liana Liberato,2010,tt1529572,add,,,,,,,,,,
Dustin Hoffman,Robin Williams,Julia Roberts,1991,tt0102057,add,Family,Fantasy,,,,,,,,
Robert De Niro,James Woods,Elizabeth McGovern,1984,tt0087843,add,,,,,,,,,,
Milla Jovovich,Ali Larter,Wentworth Miller,2010,tt1220634,add,Horror,Sci-Fi,,,,,,,,
Christian Bale,Sam Worthington,Anton Yelchin,2009,tt0438488,add,Sci-Fi,Thriller,,,,,,,,
Angelina Jolie,James McAvoy,Morgan Freeman,2008,tt0493464,add,Thriller,,,,,,,,,
Robert Downey Jr.,Zach Galifianakis,Michelle Monaghan,2010,tt1231583,add,,,,,,,,,,
Kurt Russell,Wilford Brimley,Keith David,1982,tt0084787,add,Sci-Fi,Thriller,,,,,,,,
Johnny Depp,Winona Ryder,Dianne Wiest,1990,tt0099487,add,Romance,,,,,,,,,
Rachel McAdams,Noomi Rapace,Karoline Herfurth,2012,tt1829012,add,Mystery,Thriller,,,,,,,,
Danny McBride,Natalie Portman,James Franco,2011,tt1240982,add,Fantasy,,,,,,,,,
Mary Elizabeth Winstead,Aaron Paul,Nick Offerman,2012,tt2063781,add,,,,,,,,,,
Adam Sandler,Christopher McDonald,Julie Bowen,1996,tt0116483,add,,,,,,,,,,
Patrick Stewart,Hugh Jackman,Halle Berry,2003,tt0290334,add,Sci-Fi,Thriller,,,,,,,,
Scott Speedman,Liv Tyler,Gemma Ward,2008,tt0482606,add,Thriller,,,,,,,,,
Colin Farrell,Brendan Gleeson,Ciarán Hinds,2008,tt0780536,add,Drama,Thriller,,,,,,,,
Johnny Depp,Giovanni Ribisi,Aaron Eckhart,2011,tt0376136,add,,,,,,,,,,
Jesse Metcalfe,Ashanti,Arielle Kebbel,2006,tt0455967,add,,,,,,,,,,
Denzel Washington,Russell Crowe,Chiwetel Ejiofor,2007,tt0765429,add,Drama,,,,,,,,,
Robert De Niro,Sharon Stone,Joe Pesci,1995,tt0112641,add,Drama,,,,,,,,,
Tom Hardy,Nicholas Hoult,Charlize Theron,2014,tt1392190,add,Sci-Fi,,,,,,,,,
Tom Hiddleston,Christoph Waltz,Danny Trejo,2014,tt2281587,add,Crime,Family,,Musical,,,,,,
Anthony Michael Hall,Ilan Mitchell-Smith,Kelly LeBrock,1985,tt0090305,add,Romance,,,,,,,,,
Josh Zuckerman,Clark Duke,Amanda Crew,2008,tt1135985,add,Romance,,,,,,,,,
Haley Joel Osment,Jude Law,Frances O'Connor,2001,tt0212720,add,Sci-Fi,,,,,,,,,
Ziyi Zhang,Ken Watanabe,Michelle Yeoh,2005,tt0397535,add,,,,,,,,,,
Arnold Schwarzenegger,,,2015,tt1340138,add,Sci-Fi,Thriller,,,,,,,,
Mel Gibson,Heath Ledger,Joely Richardson,2000,tt0187393,add,War,,,,,,,,,
Noah Hathaway,Barret Oliver,Tami Stronach,1984,tt0088323,add,Family,Fantasy,,,,,,,,
Arnold Schwarzenegger,Sharon Stone,Michael Ironside,1990,tt0100802,add,Sci-Fi,,,,,,,,,
Brad Pitt,Sean Penn,Jessica Chastain,2011,tt0478304,add,,,,,,,,,,
Patrick Swayze,Jennifer Grey,Jerry Orbach,1987,tt0092890,add,Romance,,,,,,,,,
Topol,Norma Crane,Leonard Frey,1971,tt0067093,add,History,Musical,,Romance,,,,,,
Jeremy Sumpter,Jason Isaacs,Olivia Williams,2003,tt0316396,add,Fantasy,Romance,,,,,,,,
Wesley Snipes,Kris Kristofferson,Parker Posey,2004,tt0359013,add,Fantasy,Horror,,Sci-Fi,Thriller,,,,,
Tiger Hu Chen,Keanu Reeves,Karen Mok,2013,tt2016940,add,,,,,,,,,,
Hank Azaria,Katy Perry,Jonathan Winters,2011,tt0472181,add,Comedy,Family,,Fantasy,,,,,,
Edward Norton,Jessica Biel,Paul Giamatti,2006,tt0443543,add,Romance,Thriller,,,,,,,,
Jim Carrey,Cameron Diaz,Peter Riegert,1994,tt0110475,add,Fantasy,Romance,,,,,,,,
Tom Hiddleston,Tilda Swinton,Mia Wasikowska,2013,tt1714915,add,Romance,,,,,,,,,
Riz Ahmed,Liev Schreiber,Kiefer Sutherland,2012,tt2032557,add,,,,,,,,,,
Eli Roth,Ariel Levy,Nicolás Martínez,2012,tt1780762,add,,,,,,,,,,
Jean Dujardin,Bérénice Bejo,John Goodman,2011,tt1655442,add,Romance,,,,,,,,,
Megan Fox,Amanda Seyfried,Adam Brody,2009,tt1131734,add,,,,,,,,,,
Denzel Washington,Ethan Hawke,Scott Glenn,2001,tt0139654,add,Drama,Thriller,,,,,,,,
Eric Bana,Olivia Wilde,Charlie Hunnam,2012,tt1667310,add,Thriller,,,,,,,,,
Gene Wilder,Jack Albertson,Peter Ostrum,1971,tt0067992,add,Musical,,,,,,,,,
Jude Law,Nicole Kidman,Renée Zellweger,2003,tt0159365,add,War,,,,,,,,,
Dominic Purcell,Erin Karpluk,Edward Furlong,2013,tt2368553,add,Thriller,,,,,,,,,
Anjelica Huston,Raul Julia,Christopher Lloyd,1991,tt0101272,add,,,,,,,,,,
Tom Hanks,Ewan McGregor,Ayelet Zurer,2009,tt0808151,add,,,,,,,,,,
James Spader,Maggie Gyllenhaal,Jeremy Davies,2002,tt0274812,add,Romance,,,,,,,,,
Robert Pattinson,Reese Witherspoon,Christoph Waltz,2011,tt1067583,add,,,,,,,,,,
Liam Neeson,Dermot Mulroney,Frank Grillo,2011,tt1601913,add,Drama,Thriller,,,,,,,,
Zoe Saldana,Sigourney Weaver,Sam Worthington,2016,tt1630029,add,Fantasy,Sci-Fi,,,,,,,,
Alex Pettyfer,Vanessa Hudgens,Mary-Kate Olsen,2011,tt1152398,add,Romance,,,,,,,,,
Emile Hirsch,Justin Timberlake,Anton Yelchin,2006,tt0426883,add,Drama,,,,,,,,,
Orlando Bloom,Riley Keough,Taraji P. Henson,2011,tt1582271,add,,,,,,,,,,
Clint Eastwood,Gene Hackman,Morgan Freeman,1992,tt0105695,add,,,,,,,,,,
Jeff Bridges,Matt Damon,Hailee Steinfeld,2010,tt1403865,add,Western,,Joel Coen,,,,,,,
Donald Pleasence,Jamie Lee Curtis,Tony Moran,1978,tt0077651,add,,,,,,,,,,
James Van Der Beek,Jon Voight,Paul Walker,1999,tt0139699,add,Romance,Sport,,,,,,,,
Paul Walker,Norman Reedus,Elijah Wood,2013,tt1741243,add,,,,,,,,,,
Bruce Willis,Billy Bob Thornton,Ben Affleck,1998,tt0120591,add,Sci-Fi,Thriller,,,,,,,,
Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,2009,tt1028532,add,,,,,,,,,,
John Hawkes,Helen Hunt,William H. Macy,2012,tt1866249,add,Romance,,,,,,,,,
Pierce Brosnan,Sean Bean,Izabella Scorupco,1995,tt0113189,add,Thriller,,,,,,,,,
Hayden Christensen,Natalie Portman,Ewan McGregor,2002,tt0121765,add,Fantasy,Sci-Fi,,,,,,,,
Anna Faris,Chris Evans,Ari Graynor,2011,tt0770703,add,,,,,,,,,,
Chevy Chase,Beverly D'Angelo,Juliette Lewis,1989,tt0097958,add,,,,,,,,,,
Will Smith,Charlize Theron,Jason Bateman,2008,tt0448157,add,,,,,,,,,,
Christian Slater,Patricia Arquette,Dennis Hopper,1993,tt0108399,add,,,,,,,,,,
Jason Statham,Clive Owen,Robert De Niro,2011,tt1448755,add,Thriller,,,,,,,,,
Tobey Maguire,Kirsten Dunst,Alfred Molina,2004,tt0316654,add,Fantasy,,,,,,,,,
Patrick Wilson,Ellen Page,Sandra Oh,2005,tt0424136,add,,,,,,,,,,
Orlando Bloom,Eva Green,Liam Neeson,2005,tt0320661,add,Drama,History,,War,,,,,,
Anna Chlumsky,Macaulay Culkin,Dan Aykroyd,1991,tt0102492,add,Romance,,,,,,,,,
Carey Mulligan,Peter Sarsgaard,Alfred Molina,2009,tt1174732,add,,,,,,,,,,
Jake Gyllenhaal,Jamie Foxx,Lucas Black,2005,tt0418763,add,War,,,,,,,,,
Christian Bale,Sean Bean,Emily Watson,2002,tt0238380,add,Sci-Fi,Thriller,,,,,,,,
Javier Cámara,Pepa Charro,Cecilia Roth,2013,tt2243389,add,,,,,,,,,,
Hugh Grant,Julia Roberts,Richard McCabe,1999,tt0125439,add,Romance,,,,,,,,,
Michael B. Jordan,Melonie Diaz,Octavia Spencer,2013,tt2334649,add,,,,,,,,,,
Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,2003,tt0234215,add,,,Lana Wachowski,,,,,,,
Paul Rudd,Seann William Scott,Elizabeth Banks,2008,tt0430922,add,,,,,,,,,,
Tom Hanks,Helen Hunt,Paul Sanchez,2000,tt0162222,add,,,,,,,,,,
Robert Hays,Julie Hagerty,Leslie Nielsen,1980,tt0080339,add,,,David Zucker,,,,,,,Jerry Zucker
Mike Myers,Eddie Murphy,Cameron Diaz,2001,tt0126029,add,Comedy,Family,Vicky Jenson,Fantasy,,,,,,
Dustin Hoffman,Tom Cruise,Valeria Golino,1988,tt0095953,add,,,,,,,,,,
Richard Gere,Susan Sarandon,Brit Marling,2012,tt1764183,add,,,,,,,,,,
